"reviewStatus"	"reviewNote"	"genre"	"macroGenre"	"matchScore"	"reviewPriority"	"recommendation"	"riskFlags"	"title"	"creator"	"license"	"licenseUrl"	"referenceUrl"	"candidateAudioUrl"	"subject"	"identifier"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"アニメソング"	"pop"	"62"	"82"	"review-first"	""	"Aenvelora —「終焉の誓い」( Shūen No Chikai Oath At The End)"	"Aenvelora, Aenvelora "	"CC-BY-NC-ND"	"https://creativecommons.org/licenses/by-nc-nd/4.0/"	"https://archive.org/details/aenvelora-shuen-no-chikai-oath-at-the-end"	"https://archive.org/download/aenvelora-shuen-no-chikai-oath-at-the-end/Aenvelora%20%E2%80%94%E3%80%8C%E7%B5%82%E7%84%89%E3%81%AE%E8%AA%93%E3%81%84%E3%80%8D(Sh%C5%ABen%20no%20Chikai%20Oath%20at%20the%20End).flac"	"Anime OST; Rock; Progressive Rock; Alternative Rock"	"aenvelora-shuen-no-chikai-oath-at-the-end"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"アニメソング"	"pop"	"61"	"35"	"reject-or-review-carefully"	"sample-or-collection-pack"	"Ethno Indigo Records Collection Packs"	"Ethno Indigo Records"	"CC-BY-ND"	"http://creativecommons.org/licenses/by-nd/3.0/"	"https://archive.org/details/CollectionHeader_33"	"https://archive.org/download/CollectionHeader_33/EthnoIndigoRev.flac"	"Ethno Indigo Records; Ambient; IDM; Electronica; Jazz; Noise; Glitch; Lo-Fi; Field Recording; Computer VST Music"	"CollectionHeader_33"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"アニメソング"	"pop"	"61"	"28"	"reject-or-review-carefully"	"ai-generated-or-ai-tagged"	"We’ll Meet Again"	"Chowstér — Royalty Free Music"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0/"	"https://archive.org/details/well-meet-again_202511"	"https://archive.org/download/well-meet-again_202511/We%E2%80%99ll%20Meet%20Again.mp3"	"anime ending; j-pop; japanese music; soft rock; emotional music; sad anime song; bittersweet; royalty free music; copyright free music; anime soundtrack; amv music; anime edit music; free to use music; ai music; suno ai; nostalgic; melancholic; japanese lyrics; anime vibes; ending theme; cinematic music; jpop ballad; free soundtrack; original music"	"well-meet-again_202511"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"アニメソング"	"pop"	"61"	"81"	"review-first"	""	"No Destination"	"Worlich"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/NoDestination"	"https://archive.org/download/NoDestination/09.Transitoria-TempusFugit.flac"	"worlich; no; destination; alternative; pop; rock; indie; italy; italian; placebo; smashing; pumpkins; pixies; built; spill; sonic; youth; pavement; bloody; valentine; cure"	"NoDestination"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"アニメソング"	"pop"	"61"	"81"	"review-first"	""	"/jp/ Themesong 2"	"Original author insists to be attributed as ""Anonymous"""	"CC-BY"	"http://creativecommons.org/licenses/by/3.0/"	"https://archive.org/details/Jp_Themesong_2"	"https://archive.org/download/Jp_Themesong_2/jp_Themesong_2_(Instrumental).flac"	"jp; themesong; otaku; culture; 4chan"	"Jp_Themesong_2"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"アニメソング"	"pop"	"61"	"28"	"reject-or-review-carefully"	"ai-generated-or-ai-tagged"	"Echoes In The Twilight"	"Chowstér — Royalty Free Music"	"CC-BY"	"https://creativecommons.org/licenses/by/4.0/"	"https://archive.org/details/echoes-in-the-twilight"	"https://archive.org/download/echoes-in-the-twilight/Echoes%20in%20the%20Twilight.mp3"	"anime ending; copyright free music; royalty free; emotional music; japanese style; soft male vocal; suno ai; bittersweet; chowstér; cinematic soundtrack; sunset; nostalgic; creative commons music"	"echoes-in-the-twilight"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"61"	"91"	"review-first"	""	"Tryad - Public Domain"	"Tryad"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/2.5/"	"https://archive.org/details/TryadTryadPublicDomain"	"https://archive.org/download/TryadTryadPublicDomain/Tryad__06__Witness.mp3"	"tryad; creative commons; music; trip-hop; alt rock; alternative; open source music; open source; opensource"	"TryadTryadPublicDomain"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"61"	"63"	"maybe-review"	""	"BS052 Mother Superior and Her Fields of Migraine"	"Radio For The Daydreamers"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/BS052"	"https://archive.org/download/BS052/10-No_One_Ever_Comes_Here_But_Me-Dod_Av_En_Spokelse_Versjon.mp3"	"Post-Rock; Other: Creative Commons; Black Square"	"BS052"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"60"	"90"	"review-first"	""	"Complex Numbers - 2032: Легенда о несбывшемся грядущем. Техно-опера."	"Complex Numbers"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/3.0/"	"https://archive.org/details/jamendo-488156"	"https://archive.org/download/jamendo-488156/33-1957536-Complex%20Numbers-2032%20_____%202.mp3"	"electronic; electropop; eurodance; happy; neutral; retro; synthesizer; Album"	"jamendo-488156"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"58"	"60"	"maybe-review"	""	"2009/05/01 Direkt Laiiw From Ze Hell Zass"	"Direkt Laiw From Ze Hell Zass"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/2.0/fr/"	"https://archive.org/details/20090501DirektLaiiwFromZeHellZass"	"https://archive.org/download/20090501DirektLaiiwFromZeHellZass/02DeuxiemePartieLeSoprano.mp3"	"french; radio; dogmazic; musique libre; spiritual; rock; opera; classical; bel-canto; hebrew; latine; alessandro moreschi; moreschi"	"20090501DirektLaiiwFromZeHellZass"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"オペラ"	"classical"	"57"	"77"	"maybe-review"	""	"Raíces 447 16012020 Samuel Maýnez Champion"	"Raíces UDEM"	"CC-BY-NC-ND"	"https://creativecommons.org/licenses/by-nc-nd/4.0/"	"https://archive.org/details/raices44716012020samuelmaynezchampion"	"https://archive.org/download/raices44716012020samuelmaynezchampion/Ra%C3%ADces%20447%20-%2016012020%20-%20Samuel%20Ma%C3%BDnez%20Champion.mp3"	"Conquista; Tenochtitlan; Moctezuma; Samuel Máynez; Ópera"	"raices44716012020samuelmaynezchampion"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"62"	"68"	"maybe-review"	""	"1993 Toyota Corolla"	"2003 Toyota Corolla"	"CC-BY-SA"	"https://creativecommons.org/licenses/by-sa/4.0/"	"https://archive.org/details/BFTG_264"	"https://archive.org/download/BFTG_264/04%201996%20Toyota%20Corolla.flac"	"late night lo-fi; barber beats sucks; frutiger metro; frutiger aero; barber beats; vaporwave"	"BFTG_264"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"Other Side Cask 1"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/Other_Side_Cask_1"	"https://archive.org/download/Other_Side_Cask_1/Other_Side_Cask_1_07_946.MP3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"Other_Side_Cask_1"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"Other Side Cask 3"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/Other_Side_Cask_3"	"https://archive.org/download/Other_Side_Cask_3/Other_Side_Cask_3_06_os37_979.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"Other_Side_Cask_3"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"Other Side Cask 2"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/Other_Side_Cask_2"	"https://archive.org/download/Other_Side_Cask_2/Other_Side_Cask_2_13_os28_970.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"Other_Side_Cask_2"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"Other Side Cask 4"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/4.0/"	"https://archive.org/details/Other_Side_Cask_4"	"https://archive.org/download/Other_Side_Cask_4/Other_Side_Cask_4_13_os72_1014.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"Other_Side_Cask_4"
